2791643,-3700
2791695,-3600
2791861,-3700
2792061,-3700
2792262,-3700
2792462,-3700
2792662,-3600
2794321,-3700
2794323,-3600
2794324,-3700
2794325,-3600
2794326,-3600
2794327,-3700
2794329,-3700
2794330,-3700
2794465,-3700
2794665,-3600
2794866,-3700
2795066,-3700
2795266,-3700
2795466,-3800
2795667,-3600
2795867,-3700
2796067,-3700
2796268,-3600
2796468,-3600
2796668,-3700
2796869,-3700
2797069,-3700
2797269,-3600
2797469,-3700
2797670,-3700
2797870,-3700
2798070,-3600
2798271,-3700
2798471,-3700
2798671,-3600
2798871,-3600
2799072,-3700
2799272,-3700
2799472,-3700
2799673,-3700
2799873,-3700
2800073,-3700
2800274,-3700
2800474,-3700
2800674,-3600
2800874,-3700
2801075,-3700
2801275,-3700
2801475,-3700
2801676,-3700
2801876,-3700
2802076,-3700
2802276,-3700
2802477,-3600
2802677,-3700
2802877,-3700
2803078,-3700
2803278,-3700
2803478,-3600
2803679,-3600
2803879,-3700
2804079,-3700
2804279,-3800
2804480,-3700
2804680,-3700
2804880,-3700
2805081,-3700
2805281,-3600
2805481,-3700
2805681,-3600
2805882,-3700
2806082,-3800
2806282,-3700
2806483,-3700
2806683,-3600
2806883,-3700
2807084,-3700
2807284,-3700
2807484,-3700
2807684,-3700
2807885,-3700
2808085,-3700
2808285,-3700
2808486,-3800
2808686,-3700
2808886,-3600
2809086,-3700
2809287,-3600
2809487,-3700
2809687,-3600
2809888,-3700
2810088,-3700
2810288,-3700
2810489,-3700
2810689,-3700
2810889,-3700
2811089,-3600
2811290,-3800
2811490,-3700
2811690,-3600
2811891,-3700
2812091,-3700
2812291,-3800
2812491,-3700
2812692,-3700
2812892,-3700
2813092,-3700
2813293,-3700
2813493,-3700
2813693,-3700
2813894,-3700
2814094,-3700
2814294,-3800
2814494,-3700
2814695,-3700
2814895,-3700
2815095,-3700
2815296,-3700
2815496,-3700
2815696,-3700
2815896,-3700
2816097,-3700
2816297,-3600
2816497,-3600
2816698,-3700
2816898,-3700
2817098,-3700
2817299,-3700
2817499,-3700
2817699,-3700
2817899,-3700
2818100,-3600
2818300,-3700
2818500,-3600
2818701,-3700
2818901,-3700
2819101,-3700
2819301,-3700
2819502,-3600
2819702,-3700
2819902,-3700
2820103,-3700
2820303,-3700
2820503,-3700
2820704,-3700
2820904,-3700
2821104,-3700
2821304,-3700
2821505,-3600
2821705,-3700
2821905,-3700
2822106,-3700
2822306,-3700
2822506,-3700
2822706,-3700
2822907,-3600
2823107,-3700
2823307,-3700
2823508,-3700
2823708,-3600
2823908,-3700
2824109,-3700
2824309,-3700
2824509,-3600
2824709,-3500
2824910,-3600
2825110,-3600
2825310,-3700
2825511,-3600
2825711,-3700
2825911,-3700
2826111,-3600
2826312,-3700
2826512,-3700
2826712,-3700
2826913,-3600
2827113,-3700
2827313,-3700
2827514,-3500
2827714,-3700
2827914,-3700
2828114,-3600
2828315,-3600
2828515,-3600
2828715,-3600
2828916,-3700
2829116,-3500
2829316,-3700
2829517,-3700
2829717,-3600
2829917,-3600
2830117,-3600
2830318,-3700
2830518,-3700
2830718,-3700
2830919,-3700
2831119,-3600
2831319,-3700
2831519,-3600
2831720,-3700
2831920,-3700
2832120,-3700
2832321,-3700
2832521,-3700
2832721,-3700
2832922,-3700
2833122,-3700
2833322,-3700
2833522,-3600
2833723,-3600
2833923,-3700
2834123,-3700
2834324,-3700
2834524,-3600
2834724,-3700
2834924,-3700
2835125,-3700
2835325,-3600
2835525,-3600
2835726,-3700
2835926,-3600
2836126,-3700
2836327,-3700
2836527,-3700
2836727,-3700
2836927,-3800
2837128,-3700
2837328,-3600
2837528,-3700
2837729,-3600
2837929,-3700
2838129,-3700
2838329,-3700
2838530,-3700
2838730,-3700
2838930,-3700
2839131,-3600
2839331,-3700
2839531,-3600
2839732,-3700
2839932,-3700
2840132,-3700
2840332,-3700
2840533,-3600
2840733,-3600
2840933,-3600
2841134,-3600
2841334,-3700
2841534,-3700
2841734,-3700
2841935,-3700
2842135,-3700
2842335,-3700
2842536,-3700
2842736,-3700
2842936,-3600
2843137,-3700
2843337,-3700
2843537,-3600
2843737,-3600
2843938,-3600
2844138,-3700
2844338,-3700
2844539,-3700
2844739,-3600
2844939,-3700
2845139,-3700
2845340,-3700
2845540,-3700
2845740,-3700
2845941,-3700
2846141,-3700
2846341,-3700
2846542,-3700
2846742,-3600
2846942,-3700
2847142,-3700
2847343,-3700
2847543,-3700
2847743,-3700
2847944,-3600
2848144,-3700
2848344,-3700
2848544,-3700
2848745,-3700
2848945,-3700
2849145,-3700
2849346,-3700
2849546,-3800
2849746,-3600
2849947,-3600
2850147,-3700
2850347,-3700
2850547,-3700
2850748,-3700
2850948,-3700
2851148,-3600
2851349,-3700
2851549,-3700
2851749,-3600
2851949,-3700
2852150,-3700
2852350,-3700
2852550,-3700
2852751,-3700
2852951,-3600
2853151,-3700
2853352,-3700
2853552,-3700
2853752,-3700
2853952,-3700
2854153,-3700
2854353,-3600
